BO-ID,startYear,primaryTitle,genres,Prod Budget,Domestic BO,Intl BO,WW BO
94,2008,Star Wars: The Rise of Skywalker,Adventure,275000000,515202542,557645945,1072848487
95,2008,Gemini Man,Action,140000000,48546770,118076935,166623705
96,2010,Avengers: Endgame,Action,400000000,858373000,1939427564,2797800564
97,2011,Ford v. Ferrari,Drama,97600000,117624357,106794391,224418748
98,2011,Shazam!,Action,85000000,140371656,223292877,363664533
99,2012,Alita: Battle Angel,Action,170000000,85838210,316061830,401900040
100,2013,Spider-Man: Far From Home,Action,160000000,390532085,742000747,1132532832
101,2013,Godzilla: King of the Monsters,Action,170000000,110500138,272799777,383299915
102,2013,Captain Marvel,Action,175000000,426829839,702897549,1129727388
103,2013,The Upside,Comedy,37500000,108235497,17582943,125818440
104,2014,Men in Black: International,Adventure,110000000,80001807,173018657,253020464
105,2014,Charlie’s Angels,Action,48000000,17801306,55378697,73180003
106,2014,Jumanji: The Next Level,Adventure,125000000,316831246,481501654,798332900
107,2015,The Meg,Action,178000000,145443742,381926973,527370715
108,2016,First Man,Drama,60000000,44936545,60766780,105703325
109,2016,Welcome to Marwen,Drama,45000000,10763520,2322617,13086137
110,2016,Jurassic World: Fallen Kingdom,Action,170000000,417719760,890614245,1308334005
111,2016,Instant Family,Comedy,48000000,67363237,52372951,119736188
112,2016,Robin Hood,Action,99000000,30824628,54385384,85210012
113,2016,Alpha,Adventure,51000000,35851379,63773494,99624873
114,2016,Deadpool 2,Action,110000000,324591735,461770635,786362370
115,2016,Maze Runner: The Death Cure,Action,61000000,58032443,207846093,265878536
116,2016,Bumblebee,Adventure,102000000,127195589,338000000,465195589
117,2017,Mortal Engines,Action,100000000,15951040,69529231,85480271
118,2017,Holmes & Watson,Comedy,42000000,30568743,11357862,41926605
119,2017,Aquaman,Action,160000000,335061807,808696893,1143758700
120,2017,Rampage,Action,120000000,101028233,326918984,427947217
121,2017,Avengers: Infinity War,Action,300000000,678815482,1369544272,2048359754
122,2017,Mamma Mia: Here We Go Again!,Musical,75000000,120634935,278593192,399228127
123,2017,Venom,Action,116000000,213511408,642569645,856081053
124,2017,Creed II,Drama,50000000,115715889,97875633,213591522
125,2017,Ant-Man and the Wasp,Action,130000000,216648740,406495920,623144660
126,2017,Fantastic Beasts: The Crimes of Grind…,Adventure,200000000,159555901,488899438,648455339
127,2017,Mission: Impossible—Fallout,Action,178000000,220159104,567017625,787176729
128,2017,Ocean’s 8,Action,70000000,140218711,157500000,297718711
129,2017,Pacific Rim: Uprising,Action,155000000,59874525,231055623,290930148
130,2017,Bohemian Rhapsody,Drama,55000000,216303339,670614987,886918326
131,2017,Solo: A Star Wars Story,Adventure,275000000,213767512,179383835,393151347
132,2017,Ready Player One,Adventure,150000000,137690172,441365481,579055653
133,2017,Black Panther,Action,200000000,700059566,636434755,1336494321
134,2017,The Hurricane Heist,Thriller/Suspense,40000000,6115824,27106490,33222314
135,2017,Adrift,Drama,35000000,31445011,26452180,57897191
136,2017,The Commuter,Action,40000000,36343858,82165978,118509836
137,2017,Tomb Raider,Action,90000000,58250803,215226698,273477501
138,2017,Monster Trucks,Adventure,125000000,33370166,28272632,61642798
139,2017,Spider-Man: Homecoming,Action,175000000,334201140,544145300,878346440
140,2017,Transformers: The Last Knight,Action,217000000,130168683,472724657,602893340
141,2017,Guardians of the Galaxy Vol 2,Action,200000000,389813101,479300000,869113101
142,2017,Daddy’s Home 2,Comedy,70000000,104029443,71777740,175807183
143,2017,Justice League,Action,300000000,229024295,426920914,655945209
144,2017,Murder on the Orient Express,Drama,55000000,102826543,248940604,351767147
145,2017,Thor: Ragnarok,Action,180000000,315058289,535424489,850482778
146,2017,Ghost in the Shell,Action,110000000,40563557,127347133,167910690
147,2018,xXx: Return of Xander Cage,Action,85000000,44898413,300134946,345033359
148,2018,Kong: Skull Island,Adventure,185000000,168052812,393019247,561072059
149,2018,Pitch Perfect 3,Comedy,45000000,104897530,80838882,185736412
150,2018,Power Rangers,Action,120000000,85364450,57167102,142531552
151,2018,Pirates of the Caribbean: Dead Men Te…,Adventure,230000000,172558876,622302918,794861794
152,2018,The Mummy,Adventure,195000000,80101125,329852780,409953905
153,2018,Jumanji: Welcome to the Jungle,Adventure,90000000,404508916,557104283,961613199
154,2018,Dunkirk,Action,150000000,190068280,327990546,518058826
155,2018,Wonder Woman,Action,150000000,412563408,405494813,818058221
156,2018,The Dark Tower,Western,66000000,50701325,62760202,113461527
157,2018,Only the Brave,Drama,38000000,18340051,6215126,24555177
158,2018,Geostorm,Thriller/Suspense,100000000,33700160,187095849,220796009
159,2018,The Fate of the Furious,Action,250000000,225764765,1010939031,1236703796
160,2018,The Promise,Drama,90000000,8224288,2327129,10551417
161,2018,The Post,Drama,50000000,81903458,97865999,179769457
162,2018,War for the Planet of the Apes,Action,152000000,146880162,342712105,489592267
163,2018,The Great Wall,Action,150000000,45157105,289329747,334486852
164,2018,King Arthur: Legend of the Sword,Adventure,175000000,39175066,100455270,139630336
165,2018,Star Wars Ep. VIII: The Last Jedi,Adventure,262000000,620181382,711453759,1331635141
166,2018,A Monster Calls,Drama,43000000,3740823,42673707,46414530
167,2018,Rogue One: A Star Wars Story,Adventure,200000000,532177324,522958274,1055135598
168,2018,Arrival,Drama,47000000,100546139,102317164,202863303
169,2018,Jason Bourne,Action,120000000,162192920,253975396,416168316
170,2018,Collateral Beauty,Drama,36000000,31016021,54293072,85309093
171,2018,The Divergent Series: Allegiant,Action,110000000,66184051,105838466,172022517
172,2018,Inferno,Thriller/Suspense,75000000,34343574,185175793,219519367
173,2018,Captain America: Civil War,Action,250000000,408084349,743834172,1151918521
174,2018,Teenage Mutant Ninja Turtles: Out of …,Adventure,135000000,82051601,163276773,245328374
175,2018,Jack Reacher: Never Go Back,Action,60000000,58697076,101249413,159946489
176,2019,Love & Basketball,Drama,15000000,27441122,268503,27709625
177,2019,Rat Race,Comedy,48000000,56607223,30000000,86607223
178,2019,Driven,Action,72000000,32616869,22000000,54616869
179,2019,They,Horror,17000000,12840842,3300000,16140842
180,2019,Willard,Horror,20000000,6886089,1660577,8546666
